Country name,Subregion (UN geoscheme),HDI (2022),Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,
Ethiopia,East Africa,0.492,3.861,3.997,3.725,0.792,0.915,0.420,0.441,0.270,0.101,0.923,
Tanzania,East Africa,0.532,3.781,3.917,3.644,0.820,0.706,0.380,0.709,0.191,0.257,0.717,
Comoros,East Africa,0.586,3.566,3.754,3.378,0.896,0.328,0.370,0.172,0.128,0.160,1.512,
Yemen,West Asia,0.424,3.561,3.714,3.408,0.671,1.281,0.293,0.362,0.080,0.113,0.760,
Zambia,East Africa,0.569,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,
Eswatini,Southern Africa,0.610,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,
Malawi,East Africa,0.508,3.421,3.561,3.281,0.617,0.410,0.349,0.571,0.135,0.136,1.203,
Botswana,Southern Africa,0.708,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,
Zimbabwe,East Africa,0.550,3.341,3.457,3.226,0.748,0.850,0.232,0.487,0.096,0.131,0.797,
Congo (Kinshasa),Central Africa,0.481,3.295,3.462,3.128,0.534,0.665,0.262,0.473,0.189,0.072,1.102,
Sierra Leone,West Africa,0.458,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,
Lesotho,Southern Africa,0.521,3.186,3.469,2.904,0.771,0.851,0.000,0.523,0.082,0.085,0.875,
Lebanon,West Asia,0.723,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,
Afghanistan,South Asia,0.462,1.721,1.775,1.667,0.628,0.000,0.242,0.000,0.091,0.088,0.672,
